Gene name,Coordinates,,Orientation,Description
yneH,1610349,1611275,-,Function unknown
yneI,1611339,1612727,-,Function unknown
yneJ,1612828,1613709,+,Function unknown
yneK,1613787,1614902,+,Function unknown
ydeA,1615052,1616242,+,Function unknown
marC,1616267,1616932,-,Multiple antibiotic resistance protein
marR,1617201,1617578,+,Repressor of mar operon
marA,1617592,1617981,+,"Resistance to tetracycline, other antibiotics; transcription activator of multiple antibiotic resistance system"
marB,1618013,1618231,+,Regulatory gene for mar
ydeD,1618262,1619161,-,Function unknown
ydeE,1619356,1620543,+,Function unknown
ydeH,1620984,1621874,-,Function unknown
ydeI,1622129,1622521,-,Function unknown
ydeJ,1622797,1623315,+,Function unknown
dcp,1623359,1625404,-,Dipeptidyl carboxypeptidase II
ydfG,1625541,1626287,+,Function unknown
ydfH,1626376,1627062,+,Function unknown
ydfZ,1627239,1627442,+,Function unknown
ydfI,1627477,1628937,-,Function unknown
ydfJ,1629026,1630309,-,Function unknown
ydfK,1631063,1631329,+,Function unknown
pinQ,1631646,1632236,+,DNA invertase; site-specific recombination; locus in defective prophage Qin
tfaQ,1632334,1632909,-,Phage lambda tail fiber gene homolog in prophage Qin
ydfN,1632909,1633871,-,Function unknown
nohA,1633864,1634391,-,Homolog to phage lambda Nu1 DNA packaging protein; in cryptic prophage Qin; truncated
ydfO,1635071,1635481,+,Function unknown
ydfY,1635633,1635806,-,Function unknown
cspI,1636479,1636691,-,Cold shock protein homolog
ydfP,1637054,1637551,-,Function unknown
ydfQ,1637548,1638081,-,Function unknown
ydfR,1638078,1638389,-,Function unknown
essQ,1638394,1638609,-,Phage lambda S lysis protein homolog
cspB,1639363,1639578,-,Cold shock protein with similarity to CspA
cspF,1639879,1640091,+,Cold shock protein homolog
ydfT,1640513,1641265,-,Function unknown
ydfU,1641279,1642226,-,Function unknown
rem,1642675,1642926,-,Putative gene downstream of relF gene
relF,1643143,1643298,-,Function unknown; overproduction lethal
relE,1643370,1643657,-,Function unknown
ydfV,1643921,1644226,+,Function unknown
relB,1643657,1643896,-,Stringent/relaxed response; regulation of RNA synthesis
flxA,1644429,1644761,+,"Member of FliA regulon, function unknown"
ydfW,1645198,1645377,-,Function unknown
ydfX,1645370,1645660,-,Function unknown
dicC,1645644,1645874,-,Regulatory for dicB
dicA,1645958,1646365,+,Regulatory for dicB
ydfA,1646532,1646687,+,Function unknown
ydfB,1646689,1646817,+,Function unknown
rzpQ,1646910,1647005,+,Defective homolog to lambda Rz gene in prophage Qin
dicF,1647406,1647458,+,DicF antisense RNA; inhibits ftsZ
dicB,1647633,1647821,+,Control of cell division. activates MinC
ydfD,1647818,1648009,+,Function unknown
ydfE,1648102,1648866,+,Function unknown
intQ,1649575,1650732,+,Defective integrase gene within defective prophage Qin
rspB,1650920,1651939,-,"Function unknown, transcribed with rspA, starvation induced"
rspA,1651951,1653165,-,"Prevents homoserine lactone-induced synthesis of sigma S, starvation induced"
ynfA,1653371,1653697,-,Function unknown
ynfB,1653832,1654173,+,Function unknown
speG,1654208,1654768,+,Spermidine acetyltransferase
ynfC,1654771,1655517,-,Function unknown
ynfD,1655589,1655894,+,Function unknown
ynfE,1656093,1658519,+,Function unknown
ynfF,1658580,1661003,+,Function unknown
ynfG,1661014,1661631,+,Function unknown
ynfH,1661633,1662487,+,Function unknown
ynfI,1662530,1663144,+,Function unknown
ynfJ,1663279,1664595,+,Function unknown
ynfK,1664548,1665243,-,Function unknown
dgsA,1665368,1666588,-,"Affects function of phosphotransferase system enzyme IIA/IIB, anaerobic growth on glucosamine; binds NagC promoters; regulates manX; makes large colonies"
ynfL,1666723,1667616,-,Function unknown
ynfM,1667723,1668976,+,Function unknown
asr,1669400,1669708,+,Acid shock RNA; expression controlled by phoBR
ydgD,1669984,1670805,+,Function unknown
ydgE,1670844,1671173,-,Function unknown
ydgF,1671160,1671525,-,Function unknown
ydgG,1671937,1672971,+,Function unknown
pntB,1672996,1674384,-,Pyridine nucleotide transhydrogenase beta-subunit
pntA,1674395,1675927,-,Pyridine nucleotide transhydrogenase alpha-subunit
ydgH,1676451,1677395,+,Function unknown
ydgI,1677581,1678963,+,Function unknown
ydgB,1679000,1679722,+,Function unknown
ydgC,1679719,1680054,-,Function unknown
rstA,1680174,1680902,+,Putative response regulator near tus gene
rstB,1680906,1682207,+,Putative sensor kinase near tus gene
tus,1682283,1683212,+,"Inhibits replication at Ter; Ter DNA-binding protein, blocking replication forks; DNA sequence-specific contrahelicase"
fumC,1683209,1684612,-,"Fumarase C, aerobic; member of soxRS regulon"
fumA,1684755,1686401,-,"Fumarase A, aerobic"
manA,1686600,1687775,+,Mannosephosphate isomerase
ydgA,1687876,1689384,+,Function unknown
gusC,1689610,1690863,-,Membrane-associated protein in gus operon
uidB,1690914,1692287,-,Glucuronide permease
uidA,1692284,1694095,-,Beta-D-glucuronidase
uidR,1694486,1695076,-,Regulatory gene for uid operon
hdhA,1695297,1696064,-,7-alpha-hydroxysteroid dehydrogenase
malI,1696176,1697204,-,"Regulatory gene whose product has homology to repressors LacI, GalR, CytR"
malX,1697379,1698971,+,PTS enzyme II homolog; malI regulated
malY,1698981,1700153,+,Affects induction of maltose system
add,1700257,1701258,+,"Adenosine deaminase; mutants affect growth on deoxyadenosine in purA, B mutants"
ydgJ,1701292,1702332,-,Function unknown
ydgT,1702973,1703188,+,Function unknown
ydgK,1703274,1703714,+,Function unknown
ydgL,1703791,1704372,+,Function unknown
ydgM,1704372,1704950,+,Function unknown
ydgN,1704943,1707165,+,Function unknown
ydgO,1707166,1708224,+,Function unknown
ydgP,1708228,1708848,+,Function unknown
ydgQ,1708852,1709547,+,Function unknown
nth,1709547,1710182,+,"DNA glycosylase/apyrimidinic (AP) lyase, specific for damaged pyrimidine sites, particularly Thy; endonuclease III"
ydgR,1710793,1712295,+,Function unknown
gst,1712401,1713006,+,Glutathione S-transferase
pdxY,1713050,1713913,-,Pyridoxal kinase
tyrS,1713972,1715246,-,Tyrosyl-tRNA synthetase
pdxH,1715375,1716031,-,Isoniazid resistance; pyridoxine-phosphate oxidase
ydhA,1716090,1716338,-,Function unknown
ydhH,1716517,1717626,-,Function unknown
slyB,1717900,1718367,+,Putative lipoprotein adjacent to slyA
slyA,1718414,1718854,-,Transcriptional regulator that activates crytpic hemolysin gene hlyE
ydhI,1719049,1719285,+,Function unknown
ydhJ,1719288,1720145,+,Function unknown
ydhK,1720145,1722157,+,Function unknown
sodC,1722158,1722679,-,"Superoxide dismutase, Cu, Zn"
ydhF,1722760,1723656,-,Function unknown
ydhL,1723705,1723944,-,Function unknown
ydhM,1724047,1724646,+,Function unknown
nemA,1724683,1725780,+,N-Ethylmaleimide reductase
gloA,1725861,1726268,+,Glyoxalase I
rnt,1726371,1727018,+,RNase T; RNA processing
lhr,1727111,1731727,+,Probable ATP-dependent helicase
ydhD,1731778,1732125,-,Function unknown
ydhO,1732459,1733274,+,Function unknown
sodB,1733402,1733983,+,"Superoxide dismutase, Fe"
ydhP,1734145,1735314,-,Function unknown
purR,1735868,1736893,+,Purine repressor
ydhB,1736890,1737822,-,Function unknown
ydhC,1737935,1739146,+,Function unknown
cfa,1739437,1740585,+,Cyclopropane fatty acid synthase
ribC,1740625,1741266,-,Riboflavin synthase alpha-chain
norM,1741481,1742854,+,"Putative multidrug resistnace efflux protein, Vibrio parahaemolyticus homolog"
ydhQ,1742895,1744151,-,Function unknown
valV,1744459,1744535,+,Valine tRNA2B
valW,1744540,1744616,+,Valine tRNA2A
ydhR,1744724,1745029,+,Function unknown
ydhS,1745155,1746759,+,Function unknown
ydhT,1746771,1747583,-,Function unknown
ydhU,1747587,1748372,-,Function unknown
ydhX,1748369,1749037,-,Function unknown
ydhW,1749101,1749748,-,Function unknown
ydhV,1749752,1751854,-,Function unknown
ydhY,1751875,1752501,-,Function unknown
ydhZ,1752956,1753165,-,Function unknown
pykF,1753722,1755134,+,Pyruvate kinase I; fructose-stimulated
lpp,1755445,1755681,+,Murein lipoprotein structural gene
ynhG,1755745,1756749,-,Function unknown
ynhA,1756898,1757314,-,Function unknown
ynhB,1757327,1758547,-,Function unknown
ynhC,1758544,1759815,-,Function unknown
ynhD,1759790,1760536,-,Function unknown
ynhE,1760546,1762033,-,Function unknown
ydiC,1762042,1762410,-,Function unknown
ydiH,1762958,1763227,-,Function unknown
ydiI,1763246,1763656,-,Function unknown
ydiJ,1763653,1766709,-,Function unknown
ydiK,1767098,1768210,+,Function unknown
ydiL,1768798,1768995,+,Function unknown
ydiM,1769095,1770309,+,Function unknown
ydiN,1770530,1771801,+,Function unknown
ydiB,1771813,1772679,+,Function unknown
aroD,1772710,1773468,+,3-Dehydroquinate dehydratase
ydiF,1773611,1775206,+,Function unknown
ydiO,1775220,1776371,+,Function unknown
ydiP,1776414,1777325,-,Function unknown
ydiQ,1777641,1778405,+,Function unknown
ydiR,1778425,1779363,+,Function unknown
ydiS,1779419,1780708,+,Function unknown
ydiT,1780705,1780998,+,Function unknown
ydiD,1781055,1782701,+,Function unknown
pps,1782758,1785136,-,Phosphoenolpyruvate synthase
ydiA,1785469,1786302,+,Function unknown
aroH,1786459,1787505,+,DAHP synthetase; tryptophan repressible
ydiE,1787637,1787828,+,Function unknown
ydiU,1787832,1789268,-,Function unknown
ydiV,1789331,1790044,-,Function unknown
nlpC,1790291,1790755,-,Lipoprotein
btuD,1790833,1791582,-,"B12 transport, membrane associated"
btuE,1791582,1792133,-,"Not required for vitamin B12 transport, perhaps periplasmic protein"
btuC,1792196,1793176,-,Vitamin B12 transport
ihfA,1793277,1793576,-,"Integration Host Factor (IHF), alpha subunit; host infection, mutant phage lambda; site-specific recombination; sequence-specific DNA-binding transcriptional activator"
pheT,1793581,1795968,-,Phenylalanyl-tRNA synthetase beta-subunit
pheS,1795983,1796966,-,Phenylalanyl-tRNA synthetase alpha-subunit
pheM,1797250,1797294,-,pheST operon regulatory leader peptide
rplT,1797417,1797773,-,50S ribosomal subunit protein L20
rpmI,1797826,1798023,-,50S ribosomal subunit protein A (L35)
infC,1798120,1798662,-,"Protein chain initiation factor 3, IF3"
thrS,1798666,1800594,-,Autogenously regulated threonyl-tRNA synthetase
arpB,1801118,1803017,+,Putative regulatory protein with ankyrin repeats
ydiY,1803349,1804107,-,Function unknown
pfkB,1804394,1805323,+,"Suppresses pfkA mutations; phosphofructokinase, Pfk-2"
ydiZ,1805424,1805714,+,Function unknown
yniA,1805820,1806680,+,Function unknown
yniB,1806721,1807257,-,Function unknown
yniC,1807404,1808072,+,Function unknown
ydjM,1808223,1808825,+,Function unknown
ydjN,1808958,1810349,+,Function unknown
ydjO,1810353,1811168,-,Function unknown
cedA,1811445,1811708,-,"Modulates cell division, affects inhibition after overreplication of chromosome in dnaAcos mutants"
katE,1811891,1814152,+,Catalase hydroperoxidase III
chbG,1814410,1815159,-,"Member of chb operon, function unknown"
chbF,1815172,1816524,-,"N,N'-diacetylchitobiose utilization, putative phospho-chitobiase"
chbR,1816629,1817471,-,"N,N'-diacetylchitobiose utilization,  putative repressor of chb operon"
chbA,1817479,1817829,-,"N,N'-diacetylchitobiose utilization,  putative enzyme IIA of PTS transport system"
chbC,1817880,1819238,-,"N,N'-diacetylchitobiose utilization, putative enzyme IIC of PTS transport system"
chbB,1819323,1819643,-,"N,N'-diacetylchitobiose utilization, putative enzyme IIB of PTS transport system"
osmE,1819942,1820280,-,Promoter overlaps nadE promoter; regulated by growth phase as well as osmotic pressure
nadE,1820482,1821309,+,"NAD synthetase, ammonia dependent"
ydjQ,1821539,1822426,+,Function unknown
ydjR,1822386,1822961,-,Function unknown
spy,1823164,1823649,-,Periplasmic protein induced by zinc
astE,1823979,1824947,-,Putative succinylglutamate desuccinylase
astB,1824940,1826283,-,"Putative succinylarginine dihydrolase, mutant cannot catabolize arginine"
astD,1826280,1827758,-,Putative succinylglutamic semialdehyde dehydrogenase
astA,1827755,1828789,-,Putative arginine succinyltransferase
argM,1828786,1830006,-,"Succinylornithine transaminase, mutant cannot catabolize arginine, overpproduction complements argD mutants"
xthA,1830452,1831258,+,Exonuclease III
ydjX,1831425,1832135,+,Function unknown
ydjY,1832140,1832817,+,Function unknown
ydjZ,1832832,1833539,+,Function unknown
ynjA,1833539,1834087,+,Function unknown
ynjB,1834097,1835263,+,Function unknown
ynjC,1835236,1836771,+,Function unknown
ynjD,1836771,1837424,+,Function unknown
ynjE,1837491,1838798,+,Function unknown
ynjF,1838807,1839427,-,Function unknown
ynjG,1839514,1839921,+,Function unknown
ynjH,1839887,1840159,-,Function unknown
gdhA,1840395,1841738,+,Glutamate dehydrogenase
ynjI,1841855,1842895,-,Function unknown
topB,1843023,1844984,-,Topoisomerase III; mutR phenotype is decreased deletion formation between short repeats
selD,1844989,1846032,-,Selenophosphate synthase; reduced selenium donor for selenocysteic tRNA and protein
ydjA,1846149,1846700,-,Function unknown
sppA,1846861,1848717,+,Protease IV; signal peptide peptidase
ansA,1848884,1849900,+,L-Asparaginase I
pncA,1849911,1850552,+,Nicotinamide deamidase
ydjE,1850645,1852003,-,Function unknown
ydjF,1852120,1852878,-,Function unknown
ydjG,1853015,1853995,-,Function unknown
ydjH,1854005,1854952,-,Function unknown
ydjI,1854957,1855793,-,Function unknown
ydjJ,1855814,1856857,-,Function unknown
ydjK,1856874,1858253,-,Function unknown
ydjL,1858280,1859356,-,Function unknown
yeaC,1859726,1859998,-,Function unknown
yeaA,1860040,1860453,-,Function unknown
gapA,1860795,1861790,+,Glyceraldehyde 3-P dehydrogenase A; horizontal transfer? similar to eukaryotic GAPDH
yeaD,1861874,1862758,+,Function unknown
yeaE,1862806,1863660,-,Function unknown
yeaF,1863750,1864496,-,Function unknown
yeaG,1864932,1866866,+,Function unknown
yeaH,1866979,1868262,+,Function unknown
yeaI,1868409,1869884,+,Function unknown
yeaJ,1869885,1871555,+,Function unknown
yeaK,1871598,1872101,+,Function unknown
yeaL,1872376,1872822,+,Function unknown
yeaM,1872779,1873600,-,Function unknown
yeaN,1873697,1874878,+,Function unknown
yeaO,1874912,1875280,+,Function unknown
yoaF,1875302,1875556,-,Function unknown
yeaP,1875739,1876764,+,Function unknown
yeaQ,1877031,1877279,-,Function unknown
yoaG,1877427,1877609,-,Function unknown
yeaR,1877613,1877972,-,Function unknown
yeaS,1878145,1878783,-,Function unknown
yeaT,1878910,1879833,-,Function unknown
yeaU,1879936,1881021,+,Function unknown
yeaV,1881212,1882657,+,Function unknown
yeaW,1882689,1883813,+,Function unknown
yeaX,1883869,1884834,+,Function unknown
rnd,1884888,1886015,-,Rnase D; processes tRNA precursors
fadD,1886085,1887770,-,Acyl-CoA synthetase
yeaY,1887975,1888556,-,Function unknown
yeaZ,1888596,1889291,-,Function unknown
yoaA,1889349,1891259,-,Function unknown
yoaB,1891391,1891735,+,Function unknown
yoaC,1892097,1892456,+,Function unknown
yoaH,1892576,1892755,-,Function unknown
pabB,1892829,1894190,+,Sulfonamide resistance; p-aminobenzoate biosynthesis
yeaB,1894194,1894772,+,Function unknown
sdaA,1894956,1896320,+,L-Serine deaminase
yoaD,1896451,1898049,+,Function unknown
yoaE,1898053,1899609,-,Function unknown
manX,1900072,1901043,+,"Mannose phosphotransferase system, EIIAB component"
manY,1901106,1901906,+,"Mannose phosphotransferase system, EIIC component"
manZ,1901910,1902770,+,Mannosephosphotransferase enzyme IIB
yobD,1902825,1903283,+,Function unknown
yebN,1903712,1904278,+,Function unknown
rrmA,1904275,1905084,-,"23S rRNA m1G745 methyltransferase; mutant has slow growth rate, slow chain elongation rate, and viomycin resistance"
cspC,1905250,1905459,-,Multicopy suppresses mukB mutants; cspA homolog
yobF,1905472,1905615,-,Function unknown
yebO,1906285,1906572,-,Function unknown
yobG,1906647,1906790,-,Function unknown
kdgR,1907332,1908123,-,"Regulator of kdgK, kdgT, and eda"
yebQ,1908300,1909673,+,Function unknown
htpX,1909719,1910600,-,Protein expressed as heat shock regulon member
prc,1910792,1912840,-,"Carboxy-terminal protease for penicillin-binding protein, PBP 3"
yebJ,1912860,1912979,-,Function unknown
yobE,1912976,1913558,-,Function unknown
yebR,1913655,1914206,-,Function unknown
yebS,1914282,1915565,+,Function unknown
yebT,1915534,1918167,+,Function unknown
yebU,1918247,1919686,+,Function unknown
yebV,1919804,1920040,+,Function unknown
yebW,1920145,1920336,+,Function unknown
pphA,1920337,1920993,-,Phosphoprotein phosphatase involved in signalling protein misfolding; heat shock regulon
yebY,1921389,1921730,-,Function unknown
